Title,Release year,IMDB Rating,Votes,Genre,Certificate,Runtime,Director,Main Cast,Budget,Gross Revenue
Dead Poets Society,2021.0,8.1,610927,"Comedy, Drama",U,2H8M,Peter Weir,"Robin Williams, Robert Sean Leonard, Ethan Hawke",16400000,235860116
Million Dollar Baby,2005.0,8.1,753458,"Drama, Sport",UA,2H12M,Clint Eastwood,"Hilary Swank, Clint Eastwood, Morgan Freeman",30000000,216763646
Ben-Hur,1959.0,8.1,266253,"Adventure, Drama",U,3H32M,William Wyler,"Charlton Heston, Jack Hawkins, Stephen Boyd",15000000,74442231
Gran Torino,2009.0,8.1,847507,Drama,UA,1H56M,Clint Eastwood,"Clint Eastwood, Bee Vang, Christopher Carley",33000000,269958228
Mad Max: Fury Road,2015.0,8.1,1181358,"Action, Adventure, Sci-Fi",UA,2H,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult",150000000,380456026
Barry Lyndon,1975.0,8.1,197426,"Adventure, Drama, War",U,3H5M,Stanley Kubrick,"Ryan O'Neal, Marisa Berenson, Patrick Magee",11000000,0
Tonari no Totoro,2020.0,8.1,416385,"Animation, Adventure, Comedy",U,1H26M,Hayao Miyazaki,"Hitoshi Takagi, Noriko Hidaka, Chika Sakamoto",3700000,30558708
Bacheha-ye aseman,1997.0,8.2,87468,"Drama, Family, Sport",PG,1H29M,Majid Majidi,"Reza Naji, Amir Farrokh Hashemian, Bahare Seddiqi",180000,933933
Hacksaw Ridge,2016.0,8.1,652672,"Biography, Drama, History",A,2H19M,Mel Gibson,"Andrew Garfield, Sam Worthington, Luke Bracey",40000000,180563636
The Grand Budapest Hotel,2014.0,8.1,940814,"Comedy, Drama",UA,1H39M,Wes Anderson,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric",25000000,174567384
12 Years a Slave,2014.0,8.1,771973,"Biography, Drama, History",A,2H14M,Steve McQueen,"Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender",20000000,187734091
Before Sunrise,2019.0,8.1,365800,"Comedy, Drama, Romance",Not Rated,1H41M,Richard Linklater,"Ethan Hawke, Julie Delpy, Andrea Eckert",2500000,6574201
Spider-Man: No Way Home,2021.0,8.2,976918,"Action, Adventure, Fantasy",UA,2H28M,Jon Watts,"Tom Holland, Zendaya, Benedict Cumberbatch",200000000,1921426073
Blade Runner,2020.0,8.1,863767,"Action, Drama, Sci-Fi",UA,1H57M,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young",28000000,41768494
Salinui chueok,2003.0,8.1,250990,"Crime, Drama, Mystery",UA,2H11M,Bong Joon Ho,"Song Kang-ho, Kim Sang-kyung, Kim Roe-ha",2800000,1210763
Ratatouille,2007.0,8.1,905971,"Animation, Adventure, Comedy",U,1H51M,Brad Bird,"Brad Garrett, Lou Romano, Patton Oswalt",150000000,623738973
Gone Girl,2014.0,8.1,1137780,"Drama, Mystery, Thriller",A,2H29M,David Fincher,"Ben Affleck, Rosamund Pike, Neil Patrick Harris",61000000,370890259
How to Train Your Dragon,2010.0,8.1,866327,"Animation, Action, Adventure",U,1H38M,Dean DeBlois,"Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse",165000000,494879860
"Monsters, Inc.",2002.0,8.1,1044170,"Animation, Adventure, Comedy",U,1H32M,Pete Docter,"Billy Crystal, John Goodman, Mary Gibbs",115000000,579771043
Jaws,1975.0,8.1,716206,"Adventure, Horror, Thriller",A,2H4M,Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss",7000000,490719330
In the Name of the Father,1993.0,8.1,198637,"Biography, Crime, Drama",UA,2H13M,Jim Sheridan,"Daniel Day-Lewis, Pete Postlethwaite, Alison Crosbie",13000000,65796862
Relatos salvajes,2014.0,8.1,232319,"Comedy, Drama, Thriller",18,2H2M,Damián Szifron,"Darío Grandinetti, María Marull, Mónica Villa",3300000,31478893
The Gold Rush,1925.0,8.1,125831,"Adventure, Comedy, Drama",Approved,1H35M,Charles Chaplin,"Charles Chaplin, Mack Swain, Tom Murray",923000,0
Ford v Ferrari,2019.0,8.1,541987,"Action, Biography, Drama",UA,2H32M,James Mangold,"Matt Damon, Christian Bale, Jon Bernthal",97600000,226299480
Sherlock Jr.,1924.0,8.1,63503,"Action, Comedy, Romance",Passed,45M,Buster Keaton,"Buster Keaton, Kathryn McGuire, Joe Keaton",399,0
Mary and Max.,2009.0,8.1,198450,"Animation, Comedy, Drama",U,1H32M,Adam Elliot,"Toni Collette, Philip Seymour Hoffman, Eric Bana",0,0
The Deer Hunter,1979.0,8.1,379708,"Drama, War",A,3H3M,Michael Cimino,"Robert De Niro, Christopher Walken, John Cazale",15000000,0
The General,1927.0,8.1,104064,"Action, Adventure, Comedy",Passed,1H18M,Clyde Bruckman,"Buster Keaton, Marion Mack, Glen Cavender",750000,0
Le salaire de la peur,1955.0,8.1,71723,"Adventure, Drama, Thriller",U,2H36M,Henri-Georges Clouzot,"Yves Montand, Charles Vanel, Peter van Eyck",21228,0
Mr. Smith Goes to Washington,1939.0,8.1,127370,"Comedy, Drama",U,2H9M,Frank Capra,"James Stewart, Jean Arthur, Claude Rains",1900000,146123
Logan,2017.0,8.1,903507,"Action, Drama, Sci-Fi",A,2H17M,James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen",97000000,619180476
On the Waterfront,1954.0,8.1,174594,"Crime, Drama, Thriller",A,1H48M,Elia Kazan,"Marlon Brando, Karl Malden, Lee J. Cobb",910000,0
Rocky,1976.0,8.1,670547,"Drama, Sport",U,2H,John G. Avildsen,"Sylvester Stallone, Talia Shire, Burt Young",960000,0
Smultronstället,1957.0,8.1,122072,"Drama, Romance",U,1H32M,Ingmar Bergman,"Victor Sjöström, Bibi Andersson, Ingrid Thulin",81070,0
Tôkyô monogatari,1953.0,8.1,75462,Drama,U,2H17M,Yasujirô Ozu,"Chishû Ryû, Chieko Higashiyama, Sô Yamamura",93881,0
The Third Man,1949.0,8.1,191723,"Drama, Film-Noir, Mystery",U,1H44M,Carol Reed,"Orson Welles, Joseph Cotten, Alida Valli",1067364,0
Spotlight,2016.0,8.1,524697,"Biography, Crime, Drama",A,2H9M,Tom McCarthy,"Mark Ruffalo, Michael Keaton, Rachel McAdams",20000000,98690254
Pirates of the Caribbean: The Curse of the Black Pearl,2003.0,8.1,1286425,"Action, Adventure, Fantasy",UA,2H23M,Gore Verbinski,"Johnny Depp, Geoffrey Rush, Orlando Bloom",140000000,654264546
Maharaja,2024.0,8.4,74242,"Action, Crime, Drama",A,2H21M,Nithilan Saminathan,"Vijay Sethupathi, Anurag Kashyap, Mamta Mohandas",0,0
The Terminator,1984.0,8.1,977809,"Action, Adventure, Sci-Fi",A,1H47M,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn",6400000,78371200
The Big Lebowski,2019.0,8.1,899981,"Comedy, Crime",UA,1H57M,Joel Coen,"Jeff Bridges, John Goodman, Julianne Moore",15000000,48261691
La haine,1996.0,8.1,216833,"Crime, Drama",Not Rated,1H38M,Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui",0,0
Jai Bhim,2021.0,8.6,229284,"Crime, Drama",A,2H44M,T.J. Gnanavel,"Suriya, Lijo Mol Jose, Manikandan K.",0,0
Det sjunde inseglet,1957.0,8.1,211556,"Drama, Fantasy",A,1H36M,Ingmar Bergman,"Max von Sydow, Gunnar Björnstrand, Bengt Ekerot",150000,0
Room,2016.0,8.1,472502,"Drama, Thriller",U,1H58M,Lenny Abrahamson,"Brie Larson, Jacob Tremblay, Sean Bridgers",13000000,35402766
Hotel Rwanda,2005.0,8.1,386794,"Biography, Drama, History",UA,2H1M,Terry George,"Don Cheadle, Sophie Okonedo, Joaquin Phoenix",17500000,33882243
Platoon,1989.0,8.1,461867,"Drama, War",UA,2H,Oliver Stone,"Charlie Sheen, Tom Berenger, Willem Dafoe",6000000,138546255
The Best Years of Our Lives,1947.0,8.1,75773,"Drama, Romance, War",Approved,2H50M,William Wyler,"Myrna Loy, Dana Andrews, Fredric March",2100000,0
Before Sunset,2004.0,8.1,306817,"Drama, Romance",A,1H20M,Richard Linklater,"Ethan Hawke, Julie Delpy, Vernon Dobtcheff",2700000,16507258
The Sound of Music,2014.0,8.1,281617,"Biography, Drama, Family",U,2H52M,Robert Wise,"Julie Andrews, Christopher Plummer, Eleanor Parker",8200000,161104117
The Exorcist,1977.0,8.1,485201,Horror,A,2H2M,William Friedkin,"Ellen Burstyn, Max von Sydow, Linda Blair",11000000,430872776
The Incredibles,2011.0,8.0,871942,"Animation, Action, Adventure",U,1H55M,Brad Bird,"Craig T. Nelson, Samuel L. Jackson, Holly Hunter",92000000,631688498
Hachi: A Dog&apos;s Tale,2017.0,8.1,333408,"Biography, Drama, Family",U,1H33M,Lasse Hallström,"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa",16000000,0
Rush,2013.0,8.1,545021,"Biography, Drama, Sport",R,2H3M,Ron Howard,"Daniel Brühl, Chris Hemsworth, Olivia Wilde",38000000,93329761
The Wizard of Oz,1952.0,8.1,456209,"Adventure, Family, Fantasy",U,1H42M,Victor Fleming,"Judy Garland, Frank Morgan, Ray Bolger",2777000,25637669
Koe no Katachi,2019.0,8.1,127992,"Animation, Drama",16,2H10M,Naoko Yamada,"Miyu Irino, Saori Hayami, Aoi Yûki",1079689,0
La passion de Jeanne d&apos;Arc,1928.0,8.1,66318,"Biography, Drama, History",Passed,1H50M,Carl Theodor Dreyer,"Maria Falconetti, Eugene Silvain, André Berley",21877,0
Stand by Me,1986.0,8.1,471950,"Adventure, Comedy, Drama",U,1H29M,Rob Reiner,"Wil Wheaton, River Phoenix, Corey Feldman",8000000,53525035
The Iron Giant,1999.0,8.1,250490,"Animation, Action, Adventure",U,1H26M,Brad Bird,"Eli Marienthal, Harry Connick Jr., Jennifer Aniston",70000000,23339506
Babam ve Oglum,2005.0,8.2,98675,"Drama, Family",Not Rated,1H52M,Çagan Irmak,"Çetin Tekindor, Fikret Kuskan, Hümeyra",18612999,0
Ah-ga-ssi,2016.0,8.1,193336,"Drama, Romance, Thriller",A,2H25M,Park Chan-wook,"Kim Min-hee, Ha Jung-woo, Cho Jin-woong",0,37863670
Network,1976.0,8.1,182100,Drama,UA,2H1M,Sidney Lumet,"Faye Dunaway, William Holden, Peter Finch",3800000,0
La battaglia di Algeri,1966.0,8.1,72733,"Drama, War",Not Rated,2H1M,Gillo Pontecorvo,"Brahim Hadjadj, Jean Martin, Yacef Saadi",800000,962002
The Grapes of Wrath,1940.0,8.1,106430,Drama,Approved,2H9M,John Ford,"Henry Fonda, Jane Darwell, John Carradine",800000,0
To Be or Not to Be,1942.0,8.1,48128,"Comedy, Romance, War",Approved,1H39M,Ernst Lubitsch,"Carole Lombard, Jack Benny, Robert Stack",3270000,0
Gekijô-ban Kimetsu no Yaiba Mugen Ressha-hen,2021.0,8.2,90472,"Animation, Action, Adventure",UA,1H57M,Haruo Sotozaki,"Natsuki Hanae, Akari Kitô, Yoshitsugu Matsuoka",15000000,486451200
Into the Wild,2018.0,8.0,685891,"Adventure, Biography, Drama",U,2H28M,Sean Penn,"Emile Hirsch, Vince Vaughn, Catherine Keener",15000000,56676733
Gangs of Wasseypur,2012.0,8.2,110158,"Action, Comedy, Crime",A,5H21M,Anurag Kashyap,"Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia",0,0
The Help,2011.0,8.1,519072,Drama,UA,2H26M,Tate Taylor,"Viola Davis, Emma Stone, Octavia Spencer",25000000,221802186
Drishyam,2015.0,8.2,104019,"Crime, Drama, Mystery",UA,2H43M,Nishikant Kamat,"Ajay Devgn, Shriya Saran, Tabu",9400000,0
Groundhog Day,1993.0,8.0,725774,"Comedy, Drama, Fantasy",U,1H41M,Harold Ramis,"Bill Murray, Andie MacDowell, Chris Elliott",14600000,71108778
