Title,Release year,IMDB Rating,Votes,Genre,Certificate,Runtime,Director,Main Cast,Budget,Gross Revenue
Memento,2000.0,8.4,1398632,"Drama, Mystery, Thriller",UA,1H53M,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano",9000000,40060108
Dune: Part Two,2024.0,8.5,665729,"Action, Adventure, Drama",UA,2H46M,Denis Villeneuve,"Timothée Chalamet, Zendaya, Rebecca Ferguson",190000000,714844358
Raiders of the Lost Ark,1981.0,8.4,1087203,"Action, Adventure",A,1H55M,Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman",18000000,389925971
Avengers: Infinity War,2018.0,8.4,1318104,"Action, Adventure, Sci-Fi",UA,2H29M,Anthony Russo,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo",321000000,2052415039
Das Leben der Anderen,2006.0,8.4,432490,"Drama, Mystery, Thriller",A,2H17M,Florian Henckel von Donnersmarck,"Ulrich Mühe, Martina Gedeck, Sebastian Koch",2000000,77672685
Sunset Blvd.,1950.0,8.4,252524,"Drama, Film-Noir",Approved,1H50M,Billy Wilder,"William Holden, Gloria Swanson, Erich von Stroheim",1752000,312751
Spider-Man: Into the Spider-Verse,2018.0,8.4,751460,"Animation, Action, Adventure",U,1H57M,Bob Persichetti,"Shameik Moore, Jake Johnson, Hailee Steinfeld",90000000,393602435
Witness for the Prosecution,1958.0,8.4,153557,"Crime, Drama, Mystery",U,1H56M,Billy Wilder,"Tyrone Power, Marlene Dietrich, Charles Laughton",3000000,0
Paths of Glory,1957.0,8.4,230095,"Drama, War",A,1H28M,Stanley Kubrick,"Kirk Douglas, Ralph Meeker, Adolphe Menjou",935000,0
The Shining,2017.0,8.4,1184917,"Drama, Horror",A,2H26M,Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd",19000000,47970919
The Great Dictator,1941.0,8.4,251723,"Comedy, Drama, War",G,2H5M,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Jack Oakie",2000000,0
Inglourious Basterds,2009.0,8.4,1717055,"Adventure, Drama, War",A,2H33M,Quentin Tarantino,"Brad Pitt, Diane Kruger, Eli Roth",70000000,321460744
12th Fail,2023.0,8.7,156024,"Biography, Drama",U,2H27M,Vidhu Vinod Chopra,"Vikrant Massey, Medha Shankr, Anant Joshi",138288,0
Aliens,1987.0,8.4,820019,"Action, Adventure, Horror",U,2H17M,James Cameron,"Sigourney Weaver, Michael Biehn, Carrie Henn",18500000,131060248
The Dark Knight Rises,2012.0,8.4,1941621,"Action, Crime, Drama",UA,2H44M,Christopher Nolan,"Christian Bale, Tom Hardy, Anne Hathaway",250000000,1115050227
Coco,2017.0,8.4,668270,"Animation, Adventure, Drama",U,1H45M,Lee Unkrich,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt",175000000,814641172
Amadeus,1984.0,8.4,454658,"Biography, Drama, Music",PG,2H40M,Milos Forman,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge",18000000,52268382
Avengers: Endgame,2019.0,8.4,1388272,"Action, Adventure, Sci-Fi",UA,3H1M,Anthony Russo,"Robert Downey Jr., Chris Evans, Mark Ruffalo",356000000,2799439100
Good Will Hunting,1998.0,8.3,1162064,"Drama, Romance",U,2H6M,Gus Van Sant,"Robin Williams, Matt Damon, Ben Affleck",10000000,225933435
Toy Story,1995.0,8.3,1140352,"Animation, Adventure, Comedy",U,1H21M,John Lasseter,"Tom Hanks, Tim Allen, Don Rickles",30000000,397884199
Tengoku to jigoku,1963.0,8.4,63840,"Crime, Drama, Mystery",Not Rated,2H23M,Akira Kurosawa,"Toshirô Mifune, Yutaka Sada, Tatsuya Nakadai",0,64503
Oldeuboi,2017.0,8.3,693161,"Action, Drama, Mystery",R,2H,Park Chan-wook,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong",3000000,17617021
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964.0,8.3,543109,"Comedy, War",A,1H35M,Stanley Kubrick,"Peter Sellers, George C. Scott, Sterling Hayden",1800000,9669164
Das Boot,1981.0,8.4,282131,"Drama, War",,2H29M,Wolfgang Petersen,"Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann",0,11489051
Braveheart,1995.0,8.3,1140663,"Biography, Drama, War",A,2H58M,Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan",72000000,213216216
Kimi no Na wa.,2016.0,8.4,369731,"Animation, Drama, Fantasy",U,1H46M,Makoto Shinkai,"Ryûnosuke Kamiki, Mone Kamishiraishi, Ryo Narita",0,405349022
Mononoke-hime,2020.0,8.3,468541,"Animation, Adventure, Fantasy",U,2H13M,Hayao Miyazaki,"Yôji Matsuda, Yuriko Ishida, Yûko Tanaka",0,21601422
American Beauty,2020.0,8.3,1260394,Drama,UA,2H2M,Sam Mendes,"Kevin Spacey, Annette Bening, Thora Birch",15000000,356296601
3 Idiots,2009.0,8.4,467465,"Comedy, Drama",UA,2H50M,Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh",0,60262836
Joker,2019.0,8.3,1640098,"Crime, Drama, Thriller",A,2H2M,Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz",55000000,1078958629
Capharnaüm,2019.0,8.4,119003,Drama,A,2H6M,Nadine Labaki,"Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole",4000000,64417003
Once Upon a Time in America,1984.0,8.3,399938,"Crime, Drama",A,3H49M,Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern",30000000,5476126
Singin&apos; in the Rain,1952.0,8.3,276028,"Comedy, Musical, Romance",G,1H43M,Stanley Donen,"Gene Kelly, Donald O'Connor, Debbie Reynolds",2540800,2104880
Idi i smotri,1985.0,8.3,116052,"Drama, Thriller, War",A,2H22M,Elem Klimov,"Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius",71909,0
Requiem for a Dream,2017.0,8.3,951130,Drama,A,1H42M,Darren Aronofsky,"Ellen Burstyn, Jared Leto, Jennifer Connelly",4500000,7391471
Star Wars: Episode VI - Return of the Jedi,1983.0,8.3,1181210,"Action, Adventure, Fantasy",U,2H11M,Richard Marquand,"Mark Hamill, Harrison Ford, Carrie Fisher",32500000,482466382
Toy Story 3,2010.0,8.3,944942,"Animation, Adventure, Comedy",U,1H43M,Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack",200000000,1067316101
Jagten,2012.0,8.3,395555,Drama,7,1H55M,Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp",0,15886373
Ikiru,1952.0,8.3,98831,Drama,U,2H23M,Akira Kurosawa,"Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori",60239,0
Eternal Sunshine of the Spotless Mind,2019.0,8.3,1152695,"Drama, Romance, Sci-Fi",UA,1H48M,Michel Gondry,"Jim Carrey, Kate Winslet, Tom Wilkinson",20000000,73064902
Incendies,2020.0,8.3,236310,"Drama, Mystery, War",18,2H11M,Denis Villeneuve,"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette",6800000,6804715
The Apartment,1960.0,8.3,212355,"Comedy, Drama, Romance",U,2H5M,Billy Wilder,"Jack Lemmon, Shirley MacLaine, Fred MacMurray",3000000,0
Lawrence of Arabia,2016.0,8.3,333508,"Adventure, Biography, Drama",U,3H47M,David Lean,"Peter O'Toole, Alec Guinness, Anthony Quinn",15000000,45985667
2001: A Space Odyssey,2017.0,8.3,763733,"Adventure, Sci-Fi",U,2H29M,Stanley Kubrick,"Keir Dullea, Gary Lockwood, William Sylvester",12000000,67923117
Reservoir Dogs,1992.0,8.3,1146038,"Crime, Thriller",15+,1H39M,Quentin Tarantino,"Harvey Keitel, Tim Roth, Michael Madsen",1200000,2940735
Scarface,1983.0,8.3,984687,"Crime, Drama",R,2H50M,Brian De Palma,"Al Pacino, Michelle Pfeiffer, Steven Bauer",50000000,66443303
Heat,1995.0,8.3,773377,"Action, Crime, Drama",A,2H50M,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer",60000000,187436818
Double Indemnity,1944.0,8.3,176916,"Crime, Drama, Film-Noir",Approved,1H47M,Billy Wilder,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson",927262,0
North by Northwest,1959.0,8.3,363844,"Adventure, Drama, Mystery",U,2H16M,Alfred Hitchcock,"Cary Grant, Eva Marie Saint, James Mason",3101000,0
Up,2009.0,8.3,1201107,"Animation, Adventure, Comedy",U,1H36M,Pete Docter,"Edward Asner, Jordan Nagai, John Ratzenberger",175000000,735103954
M - Eine Stadt sucht einen Mörder,1931.0,8.3,179186,"Crime, Mystery, Thriller",Passed,1H57M,Fritz Lang,"Peter Lorre, Ellen Widmann, Inge Landgut",35566,0
Citizen Kane,2020.0,8.2,486152,"Drama, Mystery",UA,1H59M,Orson Welles,"Orson Welles, Joseph Cotten, Dorothy Comingore",839727,0
Full Metal Jacket,1987.0,8.2,832612,"Drama, War",UA,1H56M,Stanley Kubrick,"Matthew Modine, R. Lee Ermey, Vincent D'Onofrio",30000000,50875563
Vertigo,2014.0,8.2,450545,"Mystery, Romance, Thriller",A,2H8M,Alfred Hitchcock,"James Stewart, Kim Novak, Barbara Bel Geddes",2479000,7974114
Le fabuleux destin d&apos;Amélie Poulain,2001.0,8.3,825717,"Comedy, Romance",U,2H2M,Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz, Rufus",10000000,175425751
Taare Zameen Par,2007.0,8.3,224369,"Drama, Family",U,2H42M,Aamir Khan,"Darsheel Safary, Aamir Khan, Tisca Chopra",1223869,0
Jodaeiye Nader az Simin,2012.0,8.3,272640,Drama,7,2H3M,Asghar Farhadi,"Payman Maadi, Leila Hatami, Sareh Bayat",500000,22926076
To Kill a Mockingbird,1963.0,8.3,346232,"Crime, Drama",U,2H9M,Robert Mulligan,"Gregory Peck, John Megna, Frank Overton",2000000,602810
Die Hard,2013.0,8.2,1001052,"Action, Thriller",A,2H12M,John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia",28000000,143651650
Indiana Jones and the Last Crusade,1990.0,8.2,847786,"Action, Adventure",U,2H7M,Steven Spielberg,"Harrison Ford, Sean Connery, Alison Doody",48000000,474171806
The Sting,1973.0,8.2,293327,"Comedy, Crime, Drama",U,2H9M,George Roy Hill,"Paul Newman, Robert Redford, Robert Shaw",5500000,0
A Clockwork Orange,2017.0,8.2,920483,"Crime, Sci-Fi",A,2H16M,Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Michael Bates",2200000,0
Metropolis,1927.0,8.3,196806,"Drama, Sci-Fi",Not Rated,2H33M,Fritz Lang,"Brigitte Helm, Alfred Abel, Gustav Fröhlich",0,1353679
Snatch,2019.0,8.2,956585,"Comedy, Crime",UA,1H44M,Guy Ritchie,"Jason Statham, Brad Pitt, Stephen Graham",0,83558617
Oppenheimer,2023.0,8.3,937793,"Biography, Drama, History",R,3H,Christopher Nolan,"Cillian Murphy, Emily Blunt, Matt Damon",100000000,975811333
1917,2020.0,8.2,743103,"Action, Drama, War",R,1H59M,Sam Mendes,"Dean-Charles Chapman, George MacKay, Daniel Mays",95000000,446064352
L.A. Confidential,1997.0,8.2,647685,"Crime, Drama, Mystery",A,2H18M,Curtis Hanson,"Kevin Spacey, Russell Crowe, Guy Pearce",35000000,126216940
Der Untergang,2006.0,8.2,392888,"Biography, Drama, History",UA,2H36M,Oliver Hirschbiegel,"Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes",0,92181574
Ladri di biciclette,1948.0,8.2,188315,Drama,U,1H29M,Vittorio De Sica,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell",133000,453557
Dangal,2016.0,8.3,232079,"Action, Biography, Drama",U,2H41M,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh",0,303726694
The Wolf of Wall Street,2014.0,8.2,1719880,"Biography, Comedy, Crime",A,3H,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie",100000000,407039432
Green Book,2018.0,8.2,653374,"Biography, Comedy, Drama",UA,2H10M,Peter Farrelly,"Viggo Mortensen, Mahershala Ali, Linda Cardellini",23000000,321752656
The Truman Show,1998.0,8.2,1314907,"Comedy, Drama",U,1H43M,Peter Weir,"Jim Carrey, Ed Harris, Laura Linney",60000000,264118712
Hamilton,2020.0,8.3,132503,"Biography, Drama, History",UA 13+,2H49M,Thomas Kail,"Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr.",14975779,0
Hababam Sinifi: Sinifta Kaldi,1975.0,8.6,28187,Comedy,,1H35M,Ertem Egilmez,"Münir Özkul, Tarik Akan, Kemal Sunal",0,0
Taxi Driver,1978.0,8.2,995683,"Crime, Drama",A,1H54M,Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd",1300000,28979798
Batman Begins,2005.0,8.2,1670560,"Action, Crime, Drama",UA,2H20M,Christopher Nolan,"Christian Bale, Michael Caine, Ken Watanabe",150000000,375545613
Per qualche dollaro in più,2023.0,8.2,293167,"Drama, Western",U,2H12M,Sergio Leone,"Clint Eastwood, Lee Van Cleef, Gian Maria Volontè",600000,0
Judgment at Nuremberg,1961.0,8.3,93554,"Drama, History, War",A,2H59M,Stanley Kramer,"Spencer Tracy, Burt Lancaster, Richard Widmark",3000000,0
Shutter Island,2010.0,8.2,1580426,"Drama, Mystery, Thriller",A,2H18M,Martin Scorsese,"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo",80000000,294978537
Some Like It Hot,1959.0,8.2,298862,"Comedy, Music, Romance",U,2H1M,Billy Wilder,"Marilyn Monroe, Tony Curtis, Jack Lemmon",2883848,0
Jurassic Park,1994.0,8.2,1144334,"Action, Adventure, Sci-Fi",UA,2H7M,Steven Spielberg,"Sam Neill, Laura Dern, Jeff Goldblum",63000000,1104379926
The Kid,2015.0,8.2,142977,"Comedy, Drama, Family",Passed,1H8M,Charles Chaplin,"Charles Chaplin, Edna Purviance, Jackie Coogan",250000,0
The Father,2021.0,8.2,219165,"Drama, Mystery",UA,1H37M,Florian Zeller,"Anthony Hopkins, Olivia Colman, Mark Gatiss",6000000,0
There Will Be Blood,2008.0,8.2,682613,Drama,A,2H38M,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano, Ciarán Hinds",25000000,76431196
All About Eve,1951.0,8.2,146534,Drama,Approved,2H18M,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, George Sanders",1400000,156988
The Sixth Sense,2019.0,8.2,1114209,"Drama, Mystery, Thriller",A,1H47M,M. Night Shyamalan,"Bruce Willis, Haley Joel Osment, Toni Collette",40000000,672806432
Ran,1985.0,8.2,146896,"Action, Drama, War",Not Rated,2H40M,Akira Kurosawa,"Tatsuya Nakadai, Akira Terao, Jinpachi Nezu",11500000,4388625
Casino,2013.0,8.2,601907,"Crime, Drama",A,2H58M,Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci",52000000,116112375
Top Gun: Maverick,2022.0,8.2,803244,"Action, Drama",UA,2H10M,Joseph Kosinski,"Tom Cruise, Jennifer Connelly, Miles Teller",170000000,1495696292
No Country for Old Men,2008.0,8.2,1146647,"Crime, Drama, Thriller",18,2H2M,Ethan Coen,"Tommy Lee Jones, Javier Bardem, Josh Brolin",25000000,171635011
The Thing,1982.0,8.2,507800,"Horror, Mystery, Sci-Fi",A,1H49M,John Carpenter,"Kurt Russell, Wilford Brimley, Keith David",15000000,20847529
